Name,coef.Pressureridge.
Tyson Alualu,-0.056078366
Tyus Bowser,0.043106291
Uchenna Nwosu,0.041582556
Ugo Amadi,-0.102557543
Vernon Butler,-0.02693336
Vernon Hargreaves III,-0.103324418
Vic Beasley Jr,0.003103681
Vince Biegel,0.018191084
Vince Williams,0.16339735
Vincent Taylor,-0.013796027
Vinny Curry,-0.007731817
Vita Vea,0.007120242
Von Miller,0.001834325
Vonn Bell,0.071600993
Walt Aikens,-0.066091689
Wes Horton,0.036381372
Wesley Woodyard,0.058061889
Whitney Mercilus,0.010804304
Will Compton,0.567708381
Will Harris,-0.07506101
Will Parks,0.316544193
William Gholston,-0.022278394
William Jackson,-0.111342761
Xavier Woods,-0.079233056
Yannick Ngakoue,0.019562637
Za'Darius Smith,0.023353344
Zach Cunningham,0.014473215
Zach Kerr,-0.007001867
Zach Sieler,0.005628884
