PlayerId,Name,count,EPA,SoloTackle,AssistedTackle,SoloSack,AssistedSack,Pressure,PassBreakup,Interception,ForcedFumble,LeftSide,RightSide,Tech0,Tech1,Tech2,Tech2i,Tech3,Tech4,Tech4i,Tech5,Tech6,Tech7,Tech9,TechOff,TechOutside,DT,DE,RosterLB,DEBinary,DTBinary,RosterLBBinary,DER,DEL,RosterLBR,RosterLBL,DTR,DTL,DominantSide,DERPrediction,DELPrediction,DE,RosterLBRPrediction,RosterLBLPrediction,LB,DTRPrediction,DTLPrediction,MaxProb,SecondPRob
763,Brandon Mebane,206,-0.031401209,5,3,0,0,3,0,0,0,86,115,5,190,1,4,6,0,0,0,0,0,0,0,0,206,0,0,0,1,0,0,0,0,0,1,0,R,0.00359116,-8.60E-16,0.00179558,0.005555556,7.62E-04,,0.796025294,0.253141361,0.796025294,0.253141361
767,Adrian Clayborn,241,-0.095962697,4,2,3,0,21,0,0,0,1,234,0,0,0,0,21,13,17,3,5,10,141,6,25,0,241,0,1,0,0,1,0,0,0,0,0,R,0.385238095,0.305601852,0.345419974,0.127574906,0.059171076,,0.006598985,0.082770563,0.385238095,0.345419974
771,Cassius Marsh,253,-0.043898482,11,10,1,1,13,0,0,0,132,95,0,0,0,0,3,0,1,0,0,0,6,26,217,0,0,253,0,0,1,0,0,0,1,0,0,L,0.099227975,0.012116992,0.055672483,0.328767123,0.504857398,,0.002762431,0.005649718,0.504857398,0.328767123
794,DaQuan Jones,355,0.021807865,10,12,0,0,7,2,0,0,171,143,33,180,26,33,65,3,7,0,0,0,0,8,0,355,0,0,0,1,0,0,0,0,0,0,1,L,0.048525469,0.00137741,0.02495144,0.001333333,0.020632799,,0.54618928,0.447904762,0.54618928,0.447904762
805,Jurrell Casey,273,-0.013721667,9,9,3,0,12,0,0,0,115,104,10,4,7,17,47,12,29,12,7,4,22,44,58,273,0,0,0,1,0,0,0,0,0,0,1,L,0.239350649,0.167807018,0.203578833,0.217276995,0.1101983,,0.036189139,0.051236264,0.239350649,0.217276995
810,Gerald McCoy,342,0.163691088,8,14,2,1,19,1,0,0,112,219,11,67,2,5,198,2,23,24,0,8,2,0,0,342,0,0,0,1,0,0,0,0,0,1,0,R,0.133605072,0.095442359,0.114523716,0.010650888,0.003229974,,0.179213483,0.620812395,0.620812395,0.179213483
825,Lavonte David,65,-0.245118831,3,0,0,0,4,2,0,0,9,56,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,65,0,0,1,0,0,1,0,0,0,R,0.012203229,0.002832861,0.007518045,0.522038917,0.283238367,,-1.05E-15,0.005208333,0.522038917,0.283238367
836,Bradley McDougald,37,0.272308541,1,1,0,0,0,0,0,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,L,0.015285451,0.082635009,0.04896023,0.044031221,0.466985207,,-1.05E-15,0.002532928,0.466985207,0.082635009
839,Linval Joseph,199,-0.089913618,8,9,0,0,4,0,0,0,68,113,18,129,17,24,10,1,0,0,0,0,0,0,0,199,0,0,0,1,0,0,0,0,0,1,0,R,0.018909411,0.002645503,0.010777457,0.005194805,0.005263158,,0.705869176,0.340944882,0.705869176,0.340944882
842,Everson Griffen,374,-0.052201757,11,8,3,1,28,0,0,0,0,374,0,0,0,0,0,32,3,21,60,111,120,0,27,0,374,0,1,0,0,1,0,0,0,0,0,R,0.408646953,0.538069705,0.473358329,0.067486339,0.0409935,,0.004811899,0.030972616,0.538069705,0.473358329
